City,State,Country,Full Address,Longitude,Latitude,Region,Institution/Organization,Domain
Addis Ababa,,Ethiopia,"Addis Ababa, Ethiopia",38.7577605,8.9806034,Africa,Addis Ababa University,
Canberra,,Australia,"Canberra, Australia",149.1300092,-35.2809368,Australia,Australian National University,
Tempe,Arizona,USA,"Tempe, Arizona, USA",-111.9400054,33.4255104,North America,Arizona State University,Psych
Big Rapids,Michigan,USA,"Big Rapids, Michigan, USA",-85.4836557,43.6980782,North America,Ferris State University,Professor of Microbiology
Riverside,California,USA,"Riverside, California, USA",-117.3754942,33.9806005,North America,University of California Riverside,Anthropology 
Kampala,,Uganda,"Kampala, Uganda",32.5825197,0.3475964,Africa,"Uganda National Examinations Board

",
Ibadan,,Nigeria,"Ibadan, Nigeria",3.9470396,7.3775355,Africa,University of Ibadan,
Beijing,,China,"Beijing, China",116.4073963,39.90419989999999,Asia,Tsinghua University,
,Ohio,USA,", Ohio, USA",-82.90712300000001,40.4172871,North America,Ashland University,
Bandung,,Indonesia,"Bandung, Indonesia",107.6191228,-6.9174639,Asia,Institut Teknologi Bandung,
Kongens Lyngby,,Denmark,"Kongens Lyngby, Denmark",12.4949429,55.763516,Europe,Technical University of Denmark,
Ibadan,,Nigeria,"Ibadan, Nigeria",3.9470396,7.3775355,Africa,University of Ibadan,
Ithaca ,New York,USA ,"Ithaca , New York, USA ",-76.5018807,42.4439614,North America,Cornell ,
Berlin,,Germany,"Berlin, Germany",13.404954,52.52000659999999,Europe,Charite Universitatsmedizin,
Mbarara,,Uganda,"Mbarara, Uganda",30.6545022,-0.6071596,Africa,EASST Fellow/UC Berkeley,
Munich,,Germany,"Munich, Germany",11.5819805,48.1351253,Europe,Ludwig-Maximilians-Universität München,post-doc
Baltimore,Maryland,USA,"Baltimore, Maryland, USA",-76.6121893,39.2903848,North America,John Hopkins University,Data Management Consultant
Toronto,,Canada,"Toronto, Canada",-79.3831843,43.653226,North America,York University,
,Idaho,USA,", Idaho, USA",-114.7420408,44.0682019,North America,University of Idaho,Assistant Professor of Marketing
Munich,,Germany,"Munich, Germany",11.5819805,48.1351253,Europe,FOM University of Applied Sciences,
Stanford,California,USA,"Stanford, California, USA",-122.1660756,37.42410599999999,North America,"Harvard, Stanford","Grad student at Harvard, Biostatistican at Stanford"
Harrisonburg,Virginia,USA ,"Harrisonburg, Virginia, USA ",-78.8689155,38.4495688,North America,James Madison University,
Kensington,,Australia,"Kensington, Australia",151.223333,-33.90888899999999,Australia,University of New South Wales,
Kensington,,Australia,"Kensington, Australia",151.223333,-33.90888899999999,Australia,University of New South Wales,
Santiago,,Chile,"Santiago, Chile",-70.6692655,-33.4488897,South America,Santiago Centre for Experimental Social Sciences,
Ottawa ,,Canada,"Ottawa , Canada",-75.69719309999999,45.4215296,North America,Ottawa Hospital Research Insititute ,
Washington DC,Washington DC,USA,"Washington DC, Washington DC, USA",-77.0368707,38.9071923,North America,Association of Research Libraries (ARL),
WAshington DC,Washington DC,USA,"WAshington DC, Washington DC, USA",-77.0368707,38.9071923,North America,George Washington University,
,,Mozambique ,", Mozambique ",35.529562,-18.665695,Africa,Center for Coordination of Gender Matters (CeCAGe-UEM),
San Diego,California,USA,"San Diego, California, USA",-117.1610838,32.715738,North America,University of California - San Diego,
San Diego,California,USA,"San Diego, California, USA",-117.1610838,32.715738,North America,University of California - San Diego,
Los Angeles,California,USA,"Los Angeles, California, USA",-118.2436849,34.0522342,North America,UCLA,Director of the Social Science Data Archive
South Bend,Indiana,USA,"South Bend, Indiana, USA",-86.25198979999999,41.6763545,North America,Notre Dame ,
New York,New York,USA,"New York, New York, USA",-74.0059728,40.7127753,North America,NYU,
New Haven,Connecticut,USA,"New Haven, Connecticut, USA",-72.9278835,41.308274,North America,Yale University,Computational Neuroscience
Evansville,Indiana,USA,"Evansville, Indiana, USA",-87.5710898,37.9715592,North America,Great Plains Network,
Charlottesville,Virginia,USA,"Charlottesville, Virginia, USA",-78.47667810000002,38.0293059,North America,University of Virginia Darden School,Business
Washington DC,Washington DC,USA,"Washington DC, Washington DC, USA",-77.0368707,38.9071923,North America,The Lab @ DC,Science Policy 
Athens,Georgia,USA,"Athens, Georgia, USA",-83.357567,33.9519347,North America,University of Georgia,Mathematics
Madison,Wisconsin,USA,"Madison, Wisconsin, USA",-89.4012302,43.0730517,North America,University of Wisconsin,Digital Curation Resident Librarian
